# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles:P'
# Event count (approx.): 62066647788
#
# Overhead  Command  Shared Object                                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  duckdb   duckdb                                                             [.] extent_split_impl.isra.0
     0.02%  duckdb   duckdb                                                             [.] duckdb_je_pa_dalloc
     0.02%  duckdb   duckdb                                                             [.] duckdb::Vector::GetValueInternal(duckdb::Vector const&, unsigned long)
     0.02%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::ScanStructure::Next(duckdb::DataChunk&, duckdb::DataChunk&, duckdb::DataChunk&)
     0.02%  duckdb   duckdb                                                             [.] base_alloc_impl
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] place_entity
     0.02%  duckdb   libstdc++.so.6.0.33                                                [.] operator delete(void*)
     0.02%  duckdb   duckdb                                                             [.] duckdb::ValidityMask::CopySel(duckdb::ValidityMask const&, duckdb::SelectionVector const&, unsigned long, unsigned long, unsigned long)
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] free_pcppages_bulk
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] update_rq_clock
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] __page_cache_release.part.0
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] filemap_read
     0.02%  duckdb   [kernel.kallsyms]                                                  [k] native_read_msr
     0.02%  duckdb   duckdb                                                             [.] duckdb::LogicalType::GetInternalType()
     0.01%  duckdb   duckdb                                                             [.] duckdb::optional_ptr<duckdb::PhysicalOperator, true>::CheckValid() const [clone .isra.0]
     0.01%  duckdb   duckdb                                                             [.] duckdb::ConstantScanFunctionValidity(duckdb::ColumnSegment&, duckdb::ColumnScanState&, unsigned long, duckdb::Vector&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::AllocatedData::~AllocatedData()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __pkru_allows_pkey
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] sysvec_reschedule_ipi
     0.01%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::Gather(duckdb::Vector&, duckdb::SelectionVector const&, unsigned long, duckdb::vector<unsigned long, true> const&, duckdb::DataChunk&, duckdb::SelectionVector const&, duckdb::vector<duckdb::unique_ptr<duckdb::Vector, std::default_delete<duckdb::Vector>, true>, true>&) const
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] free_frozen_page_commit
     0.01%  duckdb   duckdb                                                             [.] duckdb_moodycamel::ConcurrentQueue<duckdb::BufferEvictionNode, duckdb_moodycamel::ConcurrentQueueDefaultTraits>::get_or_add_implicit_producer()
     0.01%  duckdb   duckdb                                                             [.] duckdb::AllocatedData::operator=(duckdb::AllocatedData&&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] account_user_time
     0.01%  duckdb   duckdb                                                             [.] duckdb::ExpressionExecutor::Execute(duckdb::DataChunk*, duckdb::DataChunk&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] hash_contains_ip
     0.01%  duckdb   duckdb                                                             [.] duckdb::FSSTStorage::CalculateBpDeltaOffsets(long, unsigned long, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __kmalloc_node_track_caller_noprof
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __irq_exit_rcu
     0.01%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::TryAddCompressedGroups(duckdb::DataChunk&, duckdb::DataChunk&, duckdb::vector<unsigned long, false> const&)
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_edata_heap_insert
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] string
     0.01%  duckdb   duckdb                                                             [.] duckdb::BufferHandle::operator=(duckdb::BufferHandle&&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::GetTypeIdSize(duckdb::PhysicalType)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __file_path_perm
     0.01%  duckdb   duckdb                                                             [.] duckdb::ColumnData::BeginScanVectorInternal(duckdb::ColumnScanState&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::DictionaryVector::VerifyDictionary(duckdb::Vector const&) [clone .isra.0]
     0.01%  duckdb   duckdb                                                             [.] duckdb::VectorChildBuffer::~VectorChildBuffer()
     0.01%  duckdb   duckdb                                                             [.] operator new(unsigned long)@plt
     0.01%  duckdb   duckdb                                                             [.] duckdb::BufferPool::MemoryUsage::UpdateUsedMemory(duckdb::MemoryTag, long)
     0.01%  duckdb   duckdb                                                             [.] duckdb::FSSTStorage::StringInitScan(duckdb::ColumnSegment&)
     0.01%  duckdb   duckdb                                                             [.] std::__detail::_Map_base<unsigned int*, std::pair<unsigned int* const, duckdb::shared_ptr<duckdb::VectorBuffer, true> >, std::allocator<std::pair<unsigned int* const, duckdb::shared_ptr<duckdb::VectorBuffer, true> > >, std::__detail::_Select1st, std::equal_to<unsigned int*>, std::hash<unsigned int*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](unsigned int* const&)
     0.01%  duckdb   duckdb                                                             [.] bool duckdb::VectorCastHelpers::TryCastStrictLoop<duckdb::string_t, bool, duckdb::TryCast>(duckdb::Vector&, duckdb::Vector&, unsigned long, duckdb::CastParameters&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] _raw_spin_lock_irqsave
     0.01%  duckdb   duckdb                                                             [.] strlen@plt
     0.01%  duckdb   duckdb                                                             [.] duckdb::shared_ptr<duckdb::ColumnData, true>::AssertNotNull(bool)
     0.01%  duckdb   duckdb                                                             [.] duckdb::FSSTStorage::StringScan(duckdb::ColumnSegment&, duckdb::ColumnScanState&, unsigned long, duckdb::Vector&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] free_unref_folios
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __enqueue_entity
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] ctx_sched_out
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] zap_pte_range
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __tlb_remove_folio_pages
     0.01%  duckdb   libstdc++.so.6.0.33                                                [.] free@plt
     0.01%  duckdb   duckdb                                                             [.] duckdb::LogicalType::LogicalType(duckdb::LogicalTypeId)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] raw_spin_rq_lock_nested
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_emap_merge_prepare
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] folio_add_lru_vma
     0.01%  duckdb   duckdb                                                             [.] pac_dalloc_impl
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __alloc_skb
     0.01%  duckdb   duckdb                                                             [.] duckdb::PipelineExecutor::EndOperator(duckdb::PhysicalOperator&, duckdb::optional_ptr<duckdb::DataChunk, true>)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] perf_ibs_del
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] clockevents_program_event
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __audit_filter_op
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] sched_clock_noinstr
     0.01%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::DictionaryBuffer, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] audit_reset_context
     0.01%  duckdb   duckdb                                                             [.] duckdb::DataChunk::Hash(duckdb::Vector&)
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_large_palloc
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] enqueue_entity
     0.01%  duckdb   duckdb                                                             [.] duckdb::shared_ptr<duckdb::TupleDataLayout, true>::AssertNotNull(bool)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_vformat
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] number
     0.01%  duckdb   duckdb                                                             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&) [clone .isra.0]
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __update_blocked_fair
     0.01%  duckdb   duckdb                                                             [.] void std::vector<std::pair<unsigned int, duckdb::BufferHandle>, std::allocator<std::pair<unsigned int, duckdb::BufferHandle> > >::_M_realloc_insert<unsigned int const&, duckdb::BufferHandle>(__gnu_cxx::__normal_iterator<std::pair<unsigned int, duckdb::BufferHandle>*, std::vector<std::pair<unsigned int, duckdb::BufferHandle>, std::allocator<std::pair<unsigned int, duckdb::BufferHandle> > > >, unsigned int const&, duckdb::BufferHandle&&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::Value::Value(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
     0.01%  duckdb   duckdb                                                             [.] duckdb::ExecuteFunctionState::TryExecuteDictionaryExpression(duckdb::BoundFunctionExpression const&, duckdb::DataChunk&, duckdb::ExpressionState&, duckdb::Vector&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::Vector::Verify(unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] account_process_tick
     0.01%  duckdb   duckdb                                                             [.] duckdb::VectorBuffer::~VectorBuffer()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] update_cfs_group
     0.01%  duckdb   duckdb                                                             [.] duckdb::VectorBuffer::CreateStandardVector(duckdb::PhysicalType, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] handle_softirqs
     0.01%  duckdb   duckdb                                                             [.] duckdb::PhysicalTableScan::GetData(duckdb::ExecutionContext&, duckdb::DataChunk&, duckdb::OperatorSourceInput&) const
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] kmem_cache_alloc_noprof
     0.01%  duckdb   duckdb                                                             [.] duckdb::DataChunk::~DataChunk()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] audit_filter_inodes
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] percpu_counter_add_batch
     0.01%  duckdb   duckdb                                                             [.] duckdb::vector<duckdb::Vector, true>::AssertIndexInBounds(unsigned long, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] rseq_ip_fixup
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] free_pages_and_swap_cache
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] down_read_trylock
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] _raw_spin_lock_irq
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] perf_event_groups_next
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] kprobe_dispatcher
     0.01%  duckdb   duckdb                                                             [.] duckdb::LogicalType::~LogicalType()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] cond_accept_memory
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] perf_ctx_enable
     0.01%  duckdb   duckdb                                                             [.] duckdb::RowGroup::GetColumn(unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __raw_spin_lock_irqsave
     0.01%  duckdb   duckdb                                                             [.] void duckdb::TupleDataTemplatedScatter<bool>(duckdb::Vector const&, duckdb::TupleDataVectorFormat const&, duckdb::SelectionVector const&, unsigned long, duckdb::TupleDataLayout const&, duckdb::Vector const&, duckdb::Vector&, unsigned long, duckdb::UnifiedVectorFormat const&, duckdb::vector<duckdb::TupleDataScatterFunction, true> const&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] arch_scale_freq_tick
     0.01%  duckdb   duckdb                                                             [.] duckdb::CachingPhysicalOperator::Execute(duckdb::ExecutionContext&, duckdb::DataChunk&, duckdb::DataChunk&, duckdb::GlobalOperatorState&, duckdb::OperatorState&) const
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_tcache_gc_dalloc_event_handler
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] update_sg_lb_stats
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_n_untrustedstring
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] sched_tick
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] asm_sysvec_call_function
     0.01%  duckdb   duckdb                                                             [.] duckdb::SelectionData::SelectionData(unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] folio_batch_move_lru
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] timerqueue_del
     0.01%  duckdb   duckdb                                                             [.] duckdb::Value::Value(duckdb::Value&&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::PendingQueryResult::CheckExecutableInternal(duckdb::ClientContextLock&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::DBConfig::TryGetCurrentSetting(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, duckdb::Value&) const
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] update_entity_lag
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] irq_work_tick
     0.01%  duckdb   duckdb                                                             [.] duckdb::Vector::SetVectorType(duckdb::VectorType)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] lock_mm_and_find_vma
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] format_decode
     0.01%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::AddChunk(duckdb::DataChunk&, duckdb::DataChunk&, duckdb::vector<unsigned long, false> const&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::AddChunk(duckdb::DataChunk&, duckdb::Vector&, duckdb::DataChunk&, duckdb::vector<unsigned long, false> const&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::TableScanFunc(duckdb::ClientContext&, duckdb::TableFunctionInput&, duckdb::DataChunk&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __rb_insert_augmented
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] native_flush_tlb_one_user
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] aa_label_snxprint
     0.01%  duckdb   libstdc++.so.6.0.33                                                [.] std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
     0.01%  duckdb   duckdb                                                             [.] duckdb::AllocatedData::AllocatedData()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] acct_account_cputime
     0.01%  duckdb   duckdb                                                             [.] duckdb::PartitionedTupleData::Repartition(duckdb::ClientContext&, duckdb::PartitionedTupleData&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __dequeue_entity
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] perf_adjust_freq_unthr_events
     0.01%  duckdb   duckdb                                                             [.] duckdb_fsst_import.part.0
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] irq_work_run_list
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_emap_remap
     0.01%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::InitializeAppend(duckdb::TupleDataPinState&, duckdb::TupleDataPinProperties)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] uncharge_folio
     0.01%  duckdb   duckdb                                                             [.] bool duckdb_moodycamel::ConcurrentQueue<duckdb::shared_ptr<duckdb::Task, true>, duckdb_moodycamel::ConcurrentQueueDefaultTraits>::ExplicitProducer::dequeue<duckdb::shared_ptr<duckdb::Task, true> >(duckdb::shared_ptr<duckdb::Task, true>&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::VectorOperations::Copy(duckdb::Vector const&, duckdb::Vector&, unsigned long, unsigned long, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] pick_eevdf
     0.01%  duckdb   duckdb                                                             [.] duckdb::Allocator::DefaultAllocatorReference()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] pick_task_fair
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __mem_cgroup_uncharge_folios
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] up_read
     0.01%  duckdb   duckdb                                                             [.] operator delete(void*)@plt
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] avg_vruntime
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] restore_regs_and_return_to_kernel
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_tcache_bin_flush_small
     0.01%  duckdb   duckdb                                                             [.] void duckdb::ConstantVector::VerifyVectorType<unsigned int>(duckdb::Vector const&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::ArenaChunk::ArenaChunk(duckdb::Allocator&, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] strlen
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_format
     0.01%  duckdb   duckdb                                                             [.] duckdb::ConcurrentQueue::DequeueFromProducer(duckdb::ProducerToken&, duckdb::shared_ptr<duckdb::Task, true>&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::TupleDataSegment::~TupleDataSegment()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] sysvec_apic_timer_interrupt
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] rb_erase
     0.01%  duckdb   duckdb                                                             [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, duckdb::Value>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, duckdb::Value> >, std::__detail::_Select1st, duckdb::CaseInsensitiveStringEquality, duckdb::CaseInsensitiveStringHashFunction, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_find_before_node(unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) const
     0.01%  duckdb   duckdb                                                             [.] duckdb::SelectionVector::SelectionVector(unsigned long)
     0.01%  duckdb   duckdb                                                             [.] duckdb::shared_ptr<duckdb::VectorChildBuffer, true> duckdb::make_shared_ptr<duckdb::VectorChildBuffer, duckdb::Vector>(duckdb::Vector&&)
     0.01%  duckdb   libstdc++.so.6.0.33                                                [.] std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
     0.01%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::PrepareKeys(duckdb::DataChunk&, duckdb::vector<duckdb::TupleDataVectorFormat, true>&, duckdb::SelectionVector const*&, duckdb::SelectionVector&, bool)
     0.01%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::UpdateAggregates(duckdb::DataChunk&, duckdb::vector<unsigned long, false> const&)
     0.01%  duckdb   libstdc++.so.6.0.33                                                [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve(unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] audit_filter_rules.isra.0
     0.01%  duckdb   duckdb                                                             [.] void std::vector<duckdb::TupleDataBlock, std::allocator<duckdb::TupleDataBlock> >::_M_realloc_insert<duckdb::BufferManager&, unsigned long const&>(__gnu_cxx::__normal_iterator<duckdb::TupleDataBlock*, std::vector<duckdb::TupleDataBlock, std::allocator<duckdb::TupleDataBlock> > >, duckdb::BufferManager&, unsigned long const&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] perf_event_update_userpage
     0.01%  duckdb   duckdb                                                             [.] duckdb::ClientBufferManager::GetBlockSize() const
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_peak_event_update
     0.01%  duckdb   duckdb                                                             [.] duckdb::StandardColumnData::Filter(duckdb::TransactionData, unsigned long, duckdb::ColumnScanState&, duckdb::Vector&, duckdb::SelectionVector&, unsigned long&, duckdb::TableFilter const&, duckdb::TableFilterState&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] perf_event_mmap_output
     0.01%  duckdb   duckdb                                                             [.] void std::vector<std::reference_wrapper<duckdb::TupleDataChunkPart>, std::allocator<std::reference_wrapper<duckdb::TupleDataChunkPart> > >::_M_realloc_insert<duckdb::TupleDataChunkPart&>(__gnu_cxx::__normal_iterator<std::reference_wrapper<duckdb::TupleDataChunkPart>*, std::vector<std::reference_wrapper<duckdb::TupleDataChunkPart>, std::allocator<std::reference_wrapper<duckdb::TupleDataChunkPart> > > >, duckdb::TupleDataChunkPart&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::StandardBufferManager::GetBlockSize() const
     0.01%  duckdb   duckdb                                                             [.] void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) [clone .isra.0]
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __folio_end_writeback
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] hrtimer_update_next_event
     0.01%  duckdb   duckdb                                                             [.] duckdb::Vector::Vector(duckdb::Vector&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::Scatter(duckdb::TupleDataChunkState&, duckdb::Vector const&, unsigned long, duckdb::SelectionVector const&, unsigned long) const
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] select_task_rq_fair
     0.01%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::Verify()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] ktime_get
     0.01%  duckdb   duckdb                                                             [.] duckdb::BufferHandle::~BufferHandle()
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_edata_avail_insert
     0.01%  duckdb   duckdb                                                             [.] duckdb::FlatVector::VerifyFlatVector(duckdb::Vector const&) [clone .isra.0]
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] perf_ctx_sched_task_cb
     0.01%  duckdb   duckdb                                                             [.] duckdb::DataChunk::ReferenceColumns(duckdb::DataChunk&, duckdb::vector<unsigned long, true> const&)
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_edata_cache_get
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] vruntime_eligible
     0.01%  duckdb   duckdb                                                             [.] duckdb::StringHeap::EmptyString(unsigned long)
     0.01%  duckdb   duckdb                                                             [.] duckdb::RadixPartitionedTupleData::MaxPartitionIndex() const
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] rb_next
     0.01%  duckdb   duckdb                                                             [.] duckdb::PendingQueryResult::ExecuteTaskInternal(duckdb::ClientContextLock&)
     0.01%  duckdb   duckdb                                                             [.] extent_try_coalesce_impl
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] rcu_core
     0.01%  duckdb   duckdb                                                             [.] duckdb::Vector::ResetFromCache(duckdb::VectorCache const&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::VectorBuffer::VectorBuffer(duckdb::VectorBufferType)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] slab_update_freelist.isra.0
     0.01%  duckdb   duckdb                                                             [.] duckdb::OperatorProfiler::StartOperator(duckdb::optional_ptr<duckdb::PhysicalOperator const, true>)
     0.01%  duckdb   duckdb                                                             [.] duckdb::Vector::Slice(duckdb::SelectionVector const&, unsigned long, duckdb::SelCache&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __memcpy
     0.01%  duckdb   duckdb                                                             [.] duckdb_fastpforlib::fastunpack(unsigned int const*, unsigned int*, unsigned int)
     0.01%  duckdb   duckdb                                                             [.] duckdb::PipelineExecutor::FetchFromSource(duckdb::DataChunk&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::StringUtil::CIEquals(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.01%  duckdb   duckdb                                                             [.] memcpy@plt
     0.01%  duckdb   duckdb                                                             [.] duckdb::StringUtil::BytesToHumanReadableString[abi:cxx11](unsigned long, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] pick_next_task
     0.01%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::TupleDataAllocator(duckdb::TupleDataAllocator&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] _find_first_bit
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] dl_server_update
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __audit_syscall_entry
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] update_sd_lb_stats.constprop.0
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] _raw_spin_unlock
     0.01%  duckdb   duckdb                                                             [.] duckdb::ClientContext::ExecuteTaskInternal(duckdb::ClientContextLock&, duckdb::BaseQueryResult&, bool)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __sysvec_apic_timer_interrupt
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] set_next_entity
     0.01%  duckdb   duckdb                                                             [.] duckdb::BufferPool::EvictBlocks(duckdb::MemoryTag, unsigned long, unsigned long, duckdb::unique_ptr<duckdb::FileBuffer, std::default_delete<duckdb::FileBuffer>, true>*)
     0.01%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::InitializeChunkState(duckdb::TupleDataSegment&, duckdb::TupleDataPinState&, duckdb::TupleDataChunkState&, unsigned long, bool)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] trace_call_bpf
     0.01%  duckdb   duckdb                                                             [.] void duckdb::UnifiedVectorFormat::VerifyVectorType<unsigned int>() const
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] sched_balance_newidle
     0.01%  duckdb   duckdb                                                             [.] duckdb::SingleFileBlockManager::IsRemote()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] change_protection_range
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] commit_merge
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_ecache_alloc
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] sched_clock
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] kfree
     0.01%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::SetDestroyBufferUponUnpin()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] migrate_disable
     0.01%  duckdb   duckdb                                                             [.] duckdb::ArenaAllocator::ArenaAllocator(duckdb::Allocator&, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] put_dec_trunc8
     0.01%  duckdb   duckdb                                                             [.] duckdb::StringValue::Get[abi:cxx11](duckdb::Value const&)
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_emap_split_prepare
     0.01%  duckdb   duckdb                                                             [.] duckdb::vector<duckdb::shared_ptr<duckdb::ColumnData, true>, true>::AssertIndexInBounds(unsigned long, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] x64_sys_call
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_subject_context
     0.01%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::Expression, std::default_delete<duckdb::Expression>, true>::AssertNotNull(bool)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] pvclock_gtod_notify
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] rcu_core_si
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] nvme_pci_complete_batch
     0.01%  duckdb   duckdb                                                             [.] duckdb::VectorStringBuffer::~VectorStringBuffer()
     0.01%  duckdb   duckdb                                                             [.] duckdb::StringVector::GetStringBuffer(duckdb::Vector&)
     0.01%  duckdb   libc.so.6                                                          [.] sched_getcpu
     0.01%  duckdb   bpf_prog_528610c33a2c9e57_fs_open_fsnotify_kprobe_262              [k] bpf_prog_528610c33a2c9e57_fs_open_fsnotify_kprobe_262
     0.01%  duckdb   duckdb                                                             [.] duckdb::StandardBufferManager::Pin(duckdb::shared_ptr<duckdb::BlockHandle, true>&)
